id,chart_template_id:id,code,name,user_type_id:id,reconcile,group_id:id
ccleen_au_2801,l10n_ccleen_au.l10n_ccleen_au_chart_template,2801,Chattel Mortgage - Car LR,account.data_account_type_non_current_assets,FALSE,account_grp_liability
ccleen_au_2802,l10n_ccleen_au.l10n_ccleen_au_chart_template,2802,CHattel Mortgage - Car P,account.data_account_type_non_current_assets,FALSE,account_grp_liability
ccleen_au_2850,l10n_ccleen_au.l10n_ccleen_au_chart_template,2850,Provision of Income,account.data_account_type_current_liabilities,FALSE,account_grp_liability
ccleen_au_2900,l10n_ccleen_au.l10n_ccleen_au_chart_template,2900,Provision Dividends,account.data_account_type_non_current_assets,FALSE,account_grp_liability
ccleen_au_2910,l10n_ccleen_au.l10n_ccleen_au_chart_template,2910,Provision LSL - LTerm,account.data_account_type_non_current_assets,FALSE,account_grp_liability
ccleen_au_3100,l10n_ccleen_au.l10n_ccleen_au_chart_template,3100,Issued and Paid Up Capital,account.data_account_type_equity,FALSE,account_grp_equity
ccleen_au_3500,l10n_ccleen_au.l10n_ccleen_au_chart_template,3500,Reserve - Share Premium,account.data_account_type_equity,FALSE,account_grp_equity
ccleen_au_3800,l10n_ccleen_au.l10n_ccleen_au_chart_template,3800,Dividend  Paid,account.data_account_type_equity,FALSE,account_grp_equity
ccleen_au_3900,l10n_ccleen_au.l10n_ccleen_au_chart_template,3900,Retained Earnings,account.data_account_type_equity,FALSE,account_grp_equity
ccleen_au_3910,l10n_ccleen_au.l10n_ccleen_au_chart_template,3910,Current Year Earnings,account.data_unaffected_earnings,FALSE,account_grp_income
ccleen_au_3950,l10n_ccleen_au.l10n_ccleen_au_chart_template,3950,P&L Income,account.data_account_type_equity,FALSE,account_grp_equity
ccleen_au_3999,l10n_ccleen_au.l10n_ccleen_au_chart_template,3999,Historical Balancing(system transition),account.data_account_type_equity,FALSE,account_grp_equity
ccleen_au_4000,l10n_ccleen_au.l10n_ccleen_au_chart_template,4000,Sales,account.data_account_type_revenue,FALSE,account_grp_income
ccleen_au_4050,l10n_ccleen_au.l10n_ccleen_au_chart_template,4050,Shipping and Handling,account.data_account_type_revenue,FALSE,account_grp_income
ccleen_au_4060,l10n_ccleen_au.l10n_ccleen_au_chart_template,4060,Sales Rebate,account.data_account_type_revenue,FALSE,account_grp_income
ccleen_au_4070,l10n_ccleen_au.l10n_ccleen_au_chart_template,4070,Rebates on Early Payment,account.data_account_type_revenue,FALSE,account_grp_income
ccleen_au_4100,l10n_ccleen_au.l10n_ccleen_au_chart_template,4100,Services,account.data_account_type_revenue,FALSE,account_grp_income
ccleen_au_5010,l10n_ccleen_au.l10n_ccleen_au_chart_template,5010,Cost of Goods Sold,account.data_account_type_direct_costs,FALSE,account_grp_expense
ccleen_au_5020,l10n_ccleen_au.l10n_ccleen_au_chart_template,5020,Direct Labour,account.data_account_type_direct_costs,FALSE,account_grp_expense
ccleen_au_5025,l10n_ccleen_au.l10n_ccleen_au_chart_template,5025,Realised Foreign Exchange Gain/ Loss- Settlement,account.data_account_type_direct_costs,FALSE,account_grp_expense
ccleen_au_5026,l10n_ccleen_au.l10n_ccleen_au_chart_template,5026,Rounding Gain/ Loss,account.data_account_type_direct_costs,FALSE,account_grp_expense
ccleen_au_5032,l10n_ccleen_au.l10n_ccleen_au_chart_template,5032,Inventory Qty Variance,account.data_account_type_direct_costs,FALSE,account_grp_expense
ccleen_au_5034,l10n_ccleen_au.l10n_ccleen_au_chart_template,5034,Inventory Price Variance,account.data_account_type_direct_costs,FALSE,account_grp_expense
ccleen_au_5036,l10n_ccleen_au.l10n_ccleen_au_chart_template,5036,Inventory Ex Rate Variance,account.data_account_type_direct_costs,FALSE,account_grp_expense
ccleen_au_5040,l10n_ccleen_au.l10n_ccleen_au_chart_template,5040,Warehouse & Distribution,account.data_account_type_direct_costs,FALSE,account_grp_expense
ccleen_au_5050,l10n_ccleen_au.l10n_ccleen_au_chart_template,5050,Shrinkage/Spoilage,account.data_account_type_direct_costs,FALSE,account_grp_expense
ccleen_au_5061,l10n_ccleen_au.l10n_ccleen_au_chart_template,5061, Sales Commission ,account.data_account_type_direct_costs,FALSE,account_grp_expense
ccleen_au_5070,l10n_ccleen_au.l10n_ccleen_au_chart_template,5070,After Sales Service &Maintenance,account.data_account_type_direct_costs,FALSE,account_grp_expense
ccleen_au_5620,l10n_ccleen_au.l10n_ccleen_au_chart_template,5620,Freight & Customs,account.data_account_type_direct_costs,FALSE,account_grp_expense
